2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05
29255,69.36,63.26,55.80,52.16,48.83,44.18,40.43,38.04,35.62,30.11,19.42
,11096,42.80,36.27,34.23,32.24,27.54,25.17,22.60,20.85,16.83,10.08
,,7279,41.64,35.90,32.71,26.82,23.93,23.64,20.33,16.43,11.07
,,,5877,40.07,35.32,29.30,24.83,23.09,21.34,17.25,11.66
,,,,5494,42.70,34.67,28.36,23.75,21.42,17.82,12.12
,,,,,5474,32.12,26.65,24.17,20.20,15.78,11.27
,,,,,,3740,32.14,29.25,24.09,19.49,13.90
,,,,,,,3017,36.46,31.06,26.15,18.83
,,,,,,,,1973,35.88,28.99,23.77
,,,,,,,,,2092,42.88,33.41
,,,,,,,,,,1849,43.27
,,,,,,,,,,,1012
